iter	MultiClass
0	1.319251567
1	1.136743542
2	0.9927355926
3	0.8840512674
4	0.7951071602
5	0.7229780901
6	0.6606840825
7	0.6122803013
8	0.5668711934
9	0.5278012034
10	0.4902779781
11	0.4607924046
12	0.4351342764
13	0.4104251759
14	0.38965126
15	0.3682566623
16	0.3498257005
17	0.331915192
18	0.3170857352
19	0.3040816938
20	0.2918030009
21	0.2794328332
22	0.2678110406
23	0.2604326878
24	0.2518923282
25	0.2451412468
26	0.237283749
27	0.229884022
28	0.2231950724
29	0.217232668
30	0.2121936343
31	0.2075974737
32	0.203060709
33	0.1983537784
34	0.1945218128
35	0.1910546305
36	0.1875891523
37	0.1840223489
38	0.1808191859
39	0.1773612851
40	0.1745256187
41	0.1714051911
42	0.1688670273
43	0.1668728834
44	0.1651143153
45	0.1631157831
46	0.1612615011
47	0.1597580019
48	0.1578090241
49	0.1567885904
50	0.1548890932
51	0.1536423985
52	0.1521237928
53	0.1507891627
54	0.1497988709
55	0.1486279913
56	0.1475943244
57	0.1461204784
58	0.1452793136
59	0.1439612166
60	0.1432075159
61	0.142504706
62	0.142174998
63	0.1415229379
64	0.1406448289
65	0.1398937023
66	0.1389181555
67	0.13806469
68	0.1375988356
69	0.1367005316
70	0.1359995042
71	0.1350992938
72	0.1344063014
73	0.1331183655
74	0.13217157
75	0.1312779595
76	0.1309087647
77	0.1302497783
78	0.1297344948
79	0.1292493586
80	0.1288239135
81	0.1277649208
82	0.1270581078
83	0.1266890913
84	0.1261990385
85	0.1256917753
86	0.1251823796
87	0.1244327659
88	0.1241159466
89	0.1237224519
90	0.1224449163
91	0.1221425695
92	0.121315693
93	0.1208980899
94	0.1206620174
95	0.1202791394
96	0.1199722872
97	0.1197281067
98	0.1190327191
99	0.1188582275
100	0.1185377552
101	0.1175764933
102	0.1171530621
103	0.116713033
104	0.1165764783
105	0.1161866566
106	0.1158225982
107	0.1156356599
108	0.1149884753
109	0.114703497
110	0.1142874552
111	0.1140117843
112	0.1138603752
113	0.1133689524
114	0.1133193013
115	0.1130616807
116	0.1127006419
117	0.1125343352
118	0.1121251226
119	0.1118245388
120	0.1115632485
121	0.1114372715
122	0.1111469685
123	0.1109855573
124	0.1106944492
125	0.1105683157
126	0.1103977278
127	0.1101054347
128	0.1097309894
129	0.1095056078
130	0.1089109937
131	0.1084905571
132	0.108124786
133	0.1078939242
134	0.1074553258
135	0.107024961
136	0.1064476489
137	0.1064258056
138	0.1059465089
139	0.1057983069
140	0.1055631038
141	0.1055079917
142	0.1053660431
143	0.1052924019
144	0.1049284573
145	0.1046794777
146	0.1044066173
147	0.1042625742
148	0.1041227643
149	0.1037126701
150	0.1034470555
151	0.1031355122
152	0.1028106363
153	0.1026764018
154	0.1021952914
155	0.1020480497
156	0.1019532661
157	0.1016932329
158	0.1016029074
159	0.1014362586
160	0.101252186
161	0.10091593
162	0.1005194406
163	0.1004139647
164	0.1003042637
165	0.1001786748
166	0.1000735172
167	0.09994547777
168	0.09978324157
169	0.09951192048
170	0.09943368286
171	0.09919813724
172	0.09909174208
173	0.0987010228
174	0.09859942336
175	0.09831664838
176	0.09825232336
177	0.09797481577
178	0.09757014028
179	0.09744973682
180	0.09724474485
181	0.09707313587
182	0.0969135455
183	0.09678622805
184	0.09676218507
185	0.09668288303
186	0.09653463546
187	0.09640315684
188	0.09636297969
189	0.09586493073
190	0.09579664019
191	0.09548895806
192	0.09519227435
193	0.09502914031
194	0.09498350503
195	0.09456905241
196	0.09451320755
197	0.09426791655
198	0.09412562938
199	0.09398061868
200	0.09350756391
201	0.09338057199
202	0.09332634676
203	0.09322840197
204	0.09277077759
205	0.09242224623
206	0.09219786837
207	0.09205617842
208	0.09179312771
209	0.09168719582
210	0.09149098873
211	0.09133881991
212	0.09115887722
213	0.09107170894
214	0.09092979954
215	0.09077717799
216	0.0904960664
217	0.09040087893
218	0.09036497147
219	0.09030064741
220	0.09020552544
221	0.09007189502
222	0.09000040162
223	0.08988744115
224	0.0897803349
225	0.08965046816
226	0.08948050835
227	0.08941654143
228	0.08935219716
229	0.08922156593
230	0.08894297261
231	0.08888443328
232	0.08866940486
233	0.08858010343
234	0.08854808768
235	0.08817140154
236	0.0880442077
237	0.08769491756
238	0.0875963537
239	0.08756656913
240	0.08742893338
241	0.08734225954
242	0.08724367179
243	0.08691915331
244	0.08683066311
245	0.08682524828
246	0.08648379453
247	0.08641711341
248	0.08638898056
249	0.08627885992
250	0.08616886197
251	0.08588317184
252	0.085770268
253	0.08569873396
254	0.08552689811
255	0.08542489243
256	0.08529355305
257	0.08507849275
258	0.08498226218
259	0.0848999944
260	0.08481554614
261	0.08472521953
262	0.0847011737
263	0.08446451797
264	0.08419092191
265	0.08409493302
266	0.08405254004
267	0.08392239039
268	0.08373567572
269	0.08365205548
270	0.08355598351
271	0.08324382196
272	0.0831796025
273	0.08308219105
274	0.08300166389
275	0.08295547843
276	0.08291952637
277	0.08286299968
278	0.08272543748
279	0.08264236116
280	0.08226342778
281	0.08196255491
282	0.08187078842
283	0.08176126984
284	0.08166100447
285	0.08158733858
286	0.08150111803
287	0.08133820509
288	0.08129780654
289	0.0811456763
290	0.08104895419
291	0.08086034172
292	0.08068816067
293	0.08054601094
294	0.08046958243
295	0.08034506879
296	0.08026092184
297	0.0801535729
298	0.0799553541
299	0.07985168438
300	0.07954852648
301	0.07946307262
302	0.07935696382
303	0.0792605966
304	0.07905162548
305	0.07899478307
306	0.07891934516
307	0.07887806581
308	0.07880987414
309	0.07850446016
310	0.0784416891
311	0.07837180669
312	0.0783386249
313	0.07812775441
314	0.07806903198
315	0.07796154498
316	0.0779302057
317	0.07776407873
318	0.07768523101
319	0.07744016054
320	0.07732007256
321	0.07723841157
322	0.07715953957
323	0.07685269386
324	0.07674661561
325	0.07668155044
326	0.07665156306
327	0.07659513564
328	0.07652227527
329	0.07640745232
330	0.07635928703
331	0.07628560709
332	0.0762711578
333	0.07613421099
334	0.07602273276
335	0.07600147894
336	0.07593694889
337	0.07575188486
338	0.07558304065
339	0.07542510229
340	0.07531287168
341	0.0752297037
342	0.07494235222
343	0.07471505973
344	0.07456133516
345	0.07449828479
346	0.07441462442
347	0.07433780018
348	0.07423695216
349	0.07421436441
350	0.07416329012
351	0.07408951688
352	0.07404426276
353	0.07396706974
354	0.07388648292
355	0.07379199256
356	0.07366729646
357	0.07361236857
358	0.07355444013
359	0.07341787103
360	0.07325494229
361	0.07316979501
362	0.07314406738
363	0.0728847125
364	0.07272531459
365	0.0726340858
366	0.07259627096
367	0.0724772535
368	0.07232394952
369	0.07202937689
370	0.07183655234
371	0.07168419329
372	0.07158621972
373	0.07145211912
374	0.07139734842
375	0.07119416262
376	0.0711035271
377	0.07097544553
378	0.07094090698
379	0.07085547041
380	0.07078235069
381	0.0705111601
382	0.07047845952
383	0.07044684868
384	0.07018147002
385	0.07009841244
386	0.06990022515
387	0.0698641086
388	0.06976993482
389	0.06959894683
390	0.06935249483
391	0.06932899099
392	0.06927432182
393	0.06921063565
394	0.06918014152
395	0.06909946903
396	0.06902757518
397	0.06894131744
398	0.06879599832
399	0.06873147103
400	0.06837690111
401	0.06821875724
402	0.06815876917
403	0.06813080132
404	0.0679662446
405	0.06796490093
406	0.06789948836
407	0.06786082335
408	0.06784234696
409	0.06778826694
410	0.06776016099
411	0.0677068535
412	0.06764012583
413	0.06745947665
414	0.06737183901
415	0.06734298944
416	0.06716825555
417	0.06706408248
418	0.06693017581
419	0.06680872087
420	0.0667585514
421	0.06664754753
422	0.06659201545
423	0.06655170503
424	0.06649374063
425	0.06629045477
426	0.06622365428
427	0.0661784972
428	0.06614587668
429	0.06594830445
430	0.06586224566
431	0.06578563375
432	0.06575712609
433	0.06570365642
434	0.06564559704
435	0.06556557634
436	0.06548554704
437	0.06538903348
438	0.06528354456
439	0.06524369335
440	0.06517855805
441	0.06512840837
442	0.06510295252
443	0.06502943493
444	0.06497319475
445	0.06495384811
446	0.06489408607
447	0.06484669478
448	0.06456583246
449	0.06455560096
