iter	Passed	Remaining
0	61	30932
1	110	27540
2	156	26001
3	216	26802
4	264	26141
5	313	25809
6	366	25786
7	417	25700
8	468	25548
9	523	25663
10	575	25567
11	626	25482
12	674	25282
13	725	25196
14	774	25028
15	823	24899
16	872	24792
17	922	24698
18	973	24639
19	1022	24538
20	1070	24411
21	1118	24311
22	1167	24219
23	1215	24108
24	1265	24049
25	1312	23931
26	1360	23838
27	1408	23746
28	1456	23653
29	1502	23542
30	1548	23430
31	1596	23343
32	1642	23247
33	1695	23243
34	1755	23328
35	1802	23228
36	1849	23147
37	1898	23082
38	1944	22983
39	1991	22906
40	2038	22818
41	2087	22764
42	2133	22671
43	2177	22562
44	2228	22532
45	2277	22475
46	2323	22396
47	2369	22311
48	2417	22251
49	2463	22173
50	2511	22107
51	2557	22035
52	2604	21966
53	2647	21868
54	2694	21800
55	2739	21719
56	2786	21653
57	2833	21592
58	2877	21505
59	2925	21450
60	2974	21406
61	3020	21335
62	3065	21266
63	3112	21204
64	3158	21136
65	3203	21065
66	3263	21090
67	3309	21023
68	3355	20961
69	3403	20907
70	3449	20839
71	3495	20777
72	3540	20711
73	3587	20652
74	3633	20591
75	3679	20528
76	3722	20451
77	3768	20388
78	3814	20328
79	3860	20265
80	3905	20200
81	3953	20152
82	4000	20100
83	4045	20033
84	4090	19970
85	4133	19899
86	4180	19843
87	4225	19781
88	4271	19725
89	4316	19666
90	4364	19614
91	4409	19556
92	4456	19502
93	4502	19445
94	4546	19384
95	4590	19317
96	4633	19251
97	4678	19190
98	4723	19132
99	4770	19082
100	4821	19048
101	4867	18992
102	4911	18932
103	4959	18882
104	5002	18818
105	5048	18765
106	5094	18712
107	5139	18653
108	5185	18601
109	5230	18543
110	5274	18484
111	5319	18426
112	5362	18365
113	5406	18304
114	5447	18238
115	5491	18178
116	5538	18131
117	5582	18072
118	5627	18016
119	5670	17955
120	5714	17898
121	5757	17838
122	5800	17777
123	5844	17720
124	5886	17659
125	5928	17598
126	5970	17535
127	6016	17484
128	6062	17434
129	6105	17376
130	6152	17330
131	6196	17276
132	6241	17222
133	6284	17165
134	6338	17136
135	6384	17087
136	6432	17042
137	6475	16986
138	6518	16929
139	6562	16876
140	6607	16823
141	6649	16763
142	6692	16708
143	6736	16653
144	6779	16597
145	6823	16543
146	6867	16490
147	6910	16434
148	6952	16378
149	6997	16328
150	7042	16276
151	7086	16223
152	7130	16172
153	7172	16114
154	7216	16062
155	7258	16006
156	7302	15954
157	7347	15903
158	7389	15848
159	7434	15797
160	7478	15745
161	7522	15695
162	7568	15648
163	7610	15592
164	7652	15536
165	7696	15486
166	7740	15435
167	7783	15382
168	7837	15349
169	7882	15301
170	7927	15252
171	7980	15218
172	8024	15167
173	8070	15120
174	8116	15072
175	8163	15027
176	8210	14983
177	8266	14954
178	8322	14925
179	8367	14875
180	8411	14824
181	8457	14777
182	8502	14728
183	8548	14680
184	8592	14629
185	8641	14588
186	8697	14558
187	8742	14508
188	8784	14455
189	8833	14413
190	8885	14374
191	8933	14330
192	8980	14284
193	9024	14234
194	9068	14183
195	9118	14143
196	9162	14092
197	9208	14045
198	9253	13996
199	9296	13945
200	9351	13910
201	9399	13867
202	9443	13816
203	9486	13764
204	9532	13717
205	9577	13669
206	9624	13622
207	9669	13574
208	9714	13525
209	9757	13474
210	9800	13423
211	9845	13374
212	9893	13331
213	9938	13282
214	9983	13234
215	10027	13184
216	10073	13137
217	10116	13086
218	10161	13037
219	10203	12985
220	10246	12936
221	10290	12886
222	10334	12837
223	10381	12790
224	10425	12742
225	10468	12692
226	10513	12644
227	10555	12592
228	10597	12541
229	10642	12493
230	10688	12446
231	10732	12397
232	10775	12348
233	10819	12299
234	10864	12251
235	10921	12216
236	10966	12169
237	11012	12122
238	11055	12072
239	11097	12022
240	11140	11972
241	11185	11924
242	11230	11877
243	11277	11831
244	11321	11783
245	11365	11734
246	11411	11689
247	11456	11640
248	11497	11589
249	11541	11541
250	11588	11496
251	11635	11450
252	11678	11401
253	11720	11351
254	11764	11303
255	11809	11255
256	11855	11210
257	11900	11162
258	11943	11113
259	11987	11065
260	12033	11019
261	12077	10970
262	12120	10922
263	12167	10877
264	12213	10830
265	12258	10783
266	12301	10734
267	12348	10689
268	12401	10649
269	12451	10606
270	12497	10560
271	12545	10515
272	12589	10468
273	12636	10422
274	12681	10375
275	12724	10327
276	12768	10279
277	12813	10232
278	12860	10187
279	12904	10139
280	12950	10093
281	12997	10047
282	13041	9999
283	13086	9953
284	13131	9906
285	13175	9858
286	13220	9811
287	13265	9764
288	13308	9716
289	13353	9669
290	13397	9622
291	13443	9576
292	13488	9529
293	13535	9484
294	13581	9437
295	13625	9390
296	13670	9343
297	13716	9298
298	13761	9250
299	13806	9204
300	13851	9157
301	13896	9111
302	13951	9070
303	13996	9024
304	14042	8977
305	14087	8930
306	14130	8883
307	14172	8835
308	14215	8787
309	14262	8741
310	14305	8693
311	14348	8645
312	14390	8597
313	14434	8550
314	14478	8503
315	14521	8455
316	14565	8408
317	14610	8361
318	14654	8315
319	14701	8269
320	14747	8223
321	14790	8175
322	14834	8128
323	14882	8084
324	14927	8037
325	14970	7990
326	15013	7942
327	15056	7895
328	15100	7848
329	15144	7801
330	15188	7754
331	15236	7710
332	15277	7661
333	15323	7615
334	15365	7568
335	15408	7520
336	15456	7476
337	15505	7431
338	15552	7386
339	15598	7340
340	15643	7294
341	15697	7252
342	15746	7207
343	15791	7161
344	15836	7114
345	15879	7067
346	15922	7020
347	15964	6972
348	16009	6926
349	16050	6878
350	16093	6831
351	16135	6784
352	16180	6738
353	16225	6692
354	16270	6645
355	16315	6599
356	16360	6553
357	16404	6506
358	16447	6460
359	16491	6413
360	16535	6366
361	16581	6320
362	16625	6274
363	16671	6228
364	16716	6182
365	16759	6135
366	16801	6088
367	16848	6043
368	16891	5996
369	16937	5951
370	16987	5906
371	17041	5863
372	17085	5817
373	17132	5771
374	17174	5724
375	17223	5680
376	17268	5634
377	17312	5587
378	17356	5541
379	17400	5494
380	17445	5448
381	17491	5403
382	17535	5356
383	17578	5310
384	17624	5264
385	17668	5218
386	17712	5171
387	17757	5125
388	17801	5079
389	17846	5033
390	17893	4988
391	17936	4941
392	17979	4895
393	18020	4848
394	18066	4802
395	18112	4756
396	18156	4710
397	18200	4664
398	18243	4618
399	18289	4572
400	18336	4527
401	18382	4481
402	18427	4435
403	18471	4389
404	18527	4345
405	18571	4299
406	18615	4253
407	18658	4207
408	18700	4160
409	18751	4116
410	18798	4070
411	18843	4024
412	18891	3979
413	18937	3933
414	18980	3887
415	19023	3841
416	19068	3795
417	19118	3750
418	19163	3704
419	19209	3658
420	19253	3612
421	19299	3567
422	19345	3521
423	19388	3475
424	19431	3429
425	19476	3383
426	19521	3337
427	19563	3291
428	19605	3244
429	19649	3198
430	19694	3152
431	19737	3106
432	19781	3060
433	19828	3015
434	19870	2969
435	19914	2923
436	19958	2877
437	20003	2831
438	20057	2787
439	20108	2742
440	20152	2696
441	20197	2650
442	20239	2604
443	20281	2558
444	20324	2512
445	20367	2466
446	20411	2420
447	20454	2374
448	20501	2328
449	20541	2282
450	20586	2236
451	20629	2190
452	20672	2144
453	20717	2099
454	20767	2053
455	20815	2008
456	20859	1962
457	20901	1916
458	20946	1871
459	20989	1825
460	21033	1779
461	21076	1733
462	21119	1687
463	21162	1641
464	21206	1596
465	21251	1550
466	21293	1504
467	21336	1458
468	21381	1413
469	21427	1367
470	21469	1321
471	21517	1276
472	21567	1231
473	21622	1186
474	21665	1140
475	21711	1094
476	21756	1049
477	21803	1003
478	21847	957
479	21891	912
480	21934	866
481	21978	820
482	22025	775
483	22070	729
484	22115	683
485	22158	638
486	22203	592
487	22246	547
488	22289	501
489	22332	455
490	22374	410
491	22417	364
492	22462	318
493	22508	273
494	22550	227
495	22593	182
496	22637	136
497	22682	91
498	22726	45
499	22770	0
